,tweet,bias
11402,"Washington spent trillions building up foreign countries while allowing OUR OWN infrastructure to fall into a state of total disrepair. No more! It's time to REBUILD, and we will do it with American WORKERS, American GRIT, and American PRIDE!pic.twitter.com/Q9rPZi2D2s",1
4672,"Small businesses are the backbone of communities across our nation, and we need to do so much more to help them. Donald Trump may have forgotten about them — but I never will. https://t.co/RDYKzt1Qc1",0
5014,"This afternoon, @KamalaHarris and I filled out our paperwork to get on the ballot in November.

Now, we're counting on you to do your part to make sure you're set to vote.

Get registered today: https://t.co/Hy8C4mIL2M https://t.co/JzAonY8TCg",0
7387,The dishonest media didn't mention that Bernie Sanders was very angry looking during Crooked's speech. He wishes he didn't make that deal!,1
9923,"Memorial service today for beautiful and incredible Heather Heyer, a truly special young woman. She will be long remembered by all!",1
10681,"Will be speaking to President Recep Tayyip Erdogan of Turkey this morning about bringing peace to the mess that I inherited in the Middle East. I will get it all done, but what a mistake, in lives and dollars (6 trillion), to be there in the first place!",1
11561,The Washington Post said I refer to Jeff Sessions as “Mr. Magoo” and Rod Rosenstein as “Mr. Peepers.” This is “according to people with whom the president has spoken.” There are no such people and don’t know these characters...just more Fake & Disgusting News to create ill will!,1
4305,"“60 days into the coronavirus crisis, the White House does not have a plan, a framework, a philosophy, or a goal.”

Real presidents lead. Reality TV presidents don’t. https://t.co/hn7GkkPv5Y",0
13332,"Congressman @ DaveBratVA7th is a fighter who is doing a great job for Virginia and for our Country. Border, Military, Vets, 2nd Amendment and all else. We need Dave in D.C. He has my Strong Endorsement!",1
3532,I'm about to take the stage from Nevada. Tune in to watch live: https://t.co/dd0LK2fnLq,0
11614,"Numerous countries are being considered for the MEETING, but would Peace House/Freedom House, on the Border of North & South Korea, be a more Representative, Important and Lasting site than a third party country? Just asking!",1
13583,Congratulations to Senator Cindy Hyde-Smith on your big WIN in the Great State of Mississippi. We are all very proud of you!,1
1617,"In an hour, I’ll take the stage for the first Democratic debate to discuss my vision for the country. As I’ve said from day one, I’m running for president for three reasons: to restore the soul of this nation, rebuild its backbone — the middle class, and unify all Americans.",0
11106,"Representative Devin Nunes, a man of tremendous courage and grit, may someday be recognized as a Great American Hero for what he has exposed and what he has had to endure!",1
16482,Thank you for the support as we MAKE AMERICA GREAT AGAIN!pic.twitter.com/qKgwRMSgcf,1
759,Find out if you can vote early in your state: http://t.co/2QQUInXH,0
738,Joe photo of the day: Virginia hearts Joe. http://t.co/76dxQouC,0
5765,"Violence against transgender and gender non-conforming people — particularly Black and Brown transgender women — is an epidemic that needs national leadership. But Donald Trump has done nothing but fan the flames of transphobia.

It has to end. https://t.co/v2DAbcIcCv",0
13505,"It is our sacred duty to support America’s Service Members every single day they wear the uniform – and every day after when they return home as Veterans. Together we will HONOR those who defend us, we will CHERISH those who protect us, and we will celebrate the amazing heroes...pic.twitter.com/kovcIj4fwU",1
10697,"The Tax Cut Bill is coming along very well, great support. With just a few changes, some mathematical, the middle class and job producers can get even more in actual dollars and savings and the pass through provision becomes simpler and really works well!",1
5849,I need you in my corner tonight. Can you chip in before I take the debate stage and help power this campaign through the final 12 days? https://t.co/RAUkSHc6ce,0
13540,"“79% of these decisions have been overturned in the 9th Circuit.” @ FoxNews A terrible, costly and dangerous disgrace. It has become a dumping ground for certain lawyers looking for easy wins and delays. Much talk over dividing up the 9th Circuit into 2 or 3 Circuits. Too big!",1
8552,"Serious voter fraud in Virginia, New Hampshire and California - so why isn't the media reporting on this? Serious bias - big problem!",1
8154,""" @ PrisonPlanet: Trump accuser praised him in an email as recently as April! This is all yet another hoax. http://dailycaller.com/2016/10/15/trump-sexual-assault-accuser-sent-glowing-email-to-his-assistant-in-april/ …"" Terrible",1
10301,"I asked @ VP Pence to leave stadium if any players kneeled, disrespecting our country. I am proud of him and @ SecondLady Karen.",1
1851,"Like so many other Americans, Marcy prefers to keep her private insurance while recognizing that a public health insurance option is necessary for some of her friends and family. https://t.co/1PnfSGC5WC",0
11434,"When you’re already $500 Billion DOWN, you can’t lose!",1
8955,"Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!",1
8319,Get out to VOTE on 11/8/2016- and we will # DrainTheSwamp! RASMUSSEN NATIONAL Trump 43% Clinton 41%pic.twitter.com/jIOR7Bq816,1
8355,"""Clinton Foundation’s Fundraisers Pressed Donors to Steer Business to Former President""http://www.wsj.com/articles/clinton-foundations-fundraisers-pressed-donors-to-steer-business-to-former-president-1477527597 …",1
16787,"This afternoon at the @ WhiteHouse, it was my great honor to present our nation’s highest civilian honor, the Presidential Medal of Freedom, to American baseball legend @ MarianoRivera. Congratulations on this extraordinary achievement, Mo!https://www.pscp.tv/w/cE_X2DFvTlFsTFJub1dwUXd8MXZPR3dhbVllTld4Qqn7JGMynN_uwOAyo31pUYIZh92Vy6yx1LMyYFYIvaC9?t=1s …",1
15762,"....done a great job of reducing crime in the African American Community because more African Americans are at work today. Trump is not a Racist, he’s a Businessman. Because he’s a great businessman, he’s pushing for lives to be better.” Michael Brown, CEO, Hydromatic Tech",1
3222,"I just got off the debate stage in Iowa, where we're in the homestretch before the caucus. With just 19 days left, every dollar counts.

Chip in if you're ready to take back this country and make Donald Trump a one-term president: https://t.co/dZBws0E8HE https://t.co/DJDvE02g5l",0
16061,"Law Enforcement is at the scene of shootings in Gilroy, California. Reports are that shooter has not yet been apprehended. Be careful and safe!",1
15721,"Sleepy Joe Biden just admitted he worked with segregationists and separately, has already been very plain about the fact that he will be substantially raising everyone’s taxes if he becomes president. Ridiculously, all Democrats want to substantially raise taxes!",1
15320,GREAT NEWS! # MAGApic.twitter.com/91Yk8B11bP,1
5371,"When I said I trust vaccines, and I trust the scientists, but I don't trust Donald Trump — this is what I meant: https://t.co/oBDXcFUAek",0
1014,Congratulations @TomPerez - You will help ensure our party continues to fight for economic fairness and for all to be treated with dignity.,0
1284,"Friends don't let friends go uninsured. If you still need health insurance for 2019, tomorrow, December 15th, is the last day to get it through https://t.co/2Ls3d80By6. This is about your health and peace of mind for you and your loved ones — there's nothing more important. https://t.co/hnXCRbOiOZ",0
196,RT @VP: Today’s decision is a really big – important – deal. Find out what it means for you: http://t.co/lyYdHQUh  –VP,0
8415,Join me in Florida tomorrow! MIAMI•12pm https://www.donaldjtrump.com/schedule/register/miami-fl3/ … ORLANDO•4pm https://www.donaldjtrump.com/schedule/register/orlando-fl1/ … PENSACOLA•7pm https://www.donaldjtrump.com/schedule/register/pensacola-fl3/ …pic.twitter.com/RwlGsWLDjs,1
10216,"We will have the votes for Healthcare but not for the reconciliation deadline of Friday, after which we need 60. Get rid of Filibuster Rule!",1
3806,"This moment demands that we choose:

Hope over fear
Unity over division
Truth over lies
Science over fiction",0
5350,".@realDonaldTrump, you know what’s actually threatening our suburbs?

Wildfires. Floods. Hurricanes.

We need to act on climate. Now.",0
5925,"This is the most important election of our lifetimes. Don't wait to make your voice heard.

Vote early today: https://t.co/eoxT07d7QB",0
14258,"52% Approval Rating, 93% in Republican Party ( a record )! Pretty amazing considering that 93% (also) of my press is REALLY BAD. The “people” are SMART!",1
6984,"Crooked Hillary Clinton is totally unfit to be our president-really bad judgement and a temperament, according to new book, which is a mess!",1
3593,We are in a battle for the soul of this nation — and Donald Trump is poison to our soul. We have to get him out of the White House. https://t.co/CvICTGZUJe,0
8543,"Hillary's debate answer on delay: ""That is horrifying. That is not the way our democracy works. Been around for 240 years. We've had free --",1
890,VP Biden on how you can join millions of Americans who have quality health care thanks to the Affordable Care Act: https://t.co/UG3RuGpSb4,0
5555,"I’m running as a Democrat, but I will be an American president. Whether you voted for me or against me, I will represent you.",0
17992,I will always protect our great warfighters. I’ve got your backs!,1
7975,""" @ Susiesentinel: # pence is so much more likeable than Kaine # cbsnews @ realDonaldTrump""",1
12553,"When you give a crazed, crying lowlife a break, and give her a job at the White House, I guess it just didn’t work out. Good work by General Kelly for quickly firing that dog!",1
15113,"China will be pumping money into their system and probably reducing interest rates, as always, in order to make up for the business they are, and will be, losing. If the Federal Reserve ever did a “match,” it would be game over, we win! In any event, China wants a deal!",1
8483,I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!,1
7180,"To all the Bernie voters who want to stop bad trade deals & global special interests, we welcome you with open arms. People first.",1
14021,"There are now 77 major or significant Walls built around the world, with 45 countries planning or building Walls. Over 800 miles of Walls have been built in Europe since only 2015. They have all been recognized as close to 100% successful. Stop the crime at our Southern Border!",1
17334,"....I would much rather focus on our Southern Border which abuts and is part of the United States of America. And by the way, numbers are way down and the WALL is being built!",1
8289,""" @ jensen4law: Best way to pay Hillary back for what she did to @ BernieSanders # DNCleak is a DonaldTrump LANDSLIDE https://twitter.com/youngdems4trump/status/789672574275813376 …""",1
11701,"The so-called leaks coming out of the White House are a massive over exaggeration put out by the Fake News Media in order to make us look as bad as possible. With that being said, leakers are traitors and cowards, and we will find out who they are!",1
16102,"If I hadn’t won the 2016 Election, we would be in a Great Recession/Depression right now. The people I saw on stage last night, & you can add in Sleepy Joe, Harris, & the rest, will lead us into an economic sinkhole the likes of which we have never seen before. With me, only up!",1
1038,"Dan Rooney embodied everything I was raised to believe being Irish meant – generosity, decency, warmth, dignity &amp; a truly genuine spirit.",0
5558,"Be a patriot. Do your part.

Wearing a mask will protect you. But it will also protect those around you — your mom, your dad, your son, your daughter, your neighbor, your co-worker.

Don’t just do it for yourself. Do it for the people you love.",0
10184,"Alaska, Arizona, Maine and Kentucky are big winners in the Healthcare proposal. 7 years of Repeal & Replace and some Senators not there.",1
6373,"Ted Cruz is mathematically out of winning the race. Now all he can do is be a spoiler, never a nice thing to do. I will beat Hillary!",1
16906,“You don’t see a direct quid pro quo in this.” @ BretBaier,1
17597,"....our manufacturers. We should have lower interest rates than Germany, Japan and all others. We are now, by far, the biggest and strongest Country, but the Fed puts us at a competitive disadvantage. China is not our problem, the Federal Reserve is! We will win anyway.",1
13574,"....starts today, election is on December 4th. @ VoteBradRaff is tough on Crime and Borders, Loves our Military and Vets. He will be great for jobs!",1
8472,"'America must decide between failed policies or fresh perspective, a corrupt system or an outsider'http://www.lifezette.com/polizette/trump-is-the-safe-smart-choice-for-change/ …",1
12213,"They just didn't get it, but they do now!pic.twitter.com/9T50NupkDy",1
9611,The era of strategic patience with the North Korea regime has failed. That patience is over. We are working closely with....pic.twitter.com/nCZ51HnIdx,1
12917,"Congressman Keith Rothfus continues to do a great job for the people of Pennsylvania. Keith is strong on Crime, the Border, and our Second Amendment. Loves our Military and our Vets. He has my total Endorsement!",1
2990,"Educators deserve a partner in the White House. As president, I will support our educators by giving them the pay and dignity they deserve. Learn more about my plan for educators, students, and our future: https://t.co/wtu6V25OlO",0
14178,I will be interviewed Sunday morning on @ FaceTheNation and prior to the Super Bowl on @ CBS at 3:30 P.M. Enjoy!,1
1674,"Luis Alvarez was an American hero—@DrBiden and I are sending our thoughts and prayers to his family.

No one should have to spend their final weeks fighting for the health care and benefits they deserve. We must do better for our 9/11 first responders. https://t.co/UkMAdNFXVI",0
7949,"Wow, just saw the really bad @ CNN ratings. People don't want to watch bad product that only builds up Crooked Hillary.",1
16999,"“President Trump’s Job Approval Numbers have just reached the highest level since his Inauguration, around 50%, and you can add to that many votes from voters that don’t talk about their vote. Once they saw the President’s numbers going up, they said ‘We gotta do something,’ so..",1
1096,"16 years ago today, terror tried to break us. It did not, and will never, succeed. Our grit &amp; determination are the strongest force I know.",0
6196,"Thank you- Appleton, Wisconsin! # WIPrimary # Trump2016 https://www.facebook.com/DonaldTrump/posts/10156862675620725:0 …pic.twitter.com/klUNUV2J5S",1
16795,"We are all united by the same love of Country, the same devotion to family, and the same profound faith that America is blessed by the eternal grace of ALMIGHTY GOD! Bound by these convictions, we will campaign for every vote & we will WIN the Great State of NEW MEXICO in 2020!pic.twitter.com/BV5Wxs5GxE",1
7179,Bernie sanders has abandoned his supporters by endorsing pro-war pro-TPP pro-Wall Street Crooked Hillary Clinton.,1
13541,Brutal and Extended Cold Blast could shatter ALL RECORDS - Whatever happened to Global Warming?,1
6959,"Houston, TX: https://www.donaldjtrump.com/schedule/register/houston-tx/ … Las Vegas, NV https://www.donaldjtrump.com/schedule/register/las-vegas-nv2/ … Phoenix, AZ: https://www.donaldjtrump.com/schedule/register/phoenix-az/ …pic.twitter.com/2ToWwthEeF",1
6875,Thank you to all for your wonderful comments on my speech. I could feel the electricity in thr air. Great reviews - most votes ever recieved,1
17758,https://www.donaldjtrump.com/events/bossier-city-la-2019-nov-djt/ …,1
7901,'How Trump won over a bar full of undecideds and Democrats'http://nypost.com/2016/09/26/the-best-debate-takes-come-from-inside-the-bar/ …,1
8291,"Will be in Cleveland, Ohio w/ @ mike_pence tonight- join us: https://www.donaldjtrump.com/schedule/register/cleveland-oh3/ … Naples, Florida-tomorrow @6pm: https://www.donaldjtrump.com/schedule/register/naples-fl/ …",1
5506,Donald Trump isn't a law and order president. He's a president who breaks the law and creates disorder.,0
16099,"Wow! A federal Judge in the Southern District of N.Y. completely dismissed a lawsuit brought by the Democratic National Committee against our historic 2016 campaign for President. The Judge said the DNC case was “entirely divorced” from the facts, yet another total & complete....",1
11979,"The U.S., together with Mexico and Canada, just got the World Cup. Congratulations - a great deal of hard work!",1
13075,"Working hard, thank you!pic.twitter.com/6HQVaEXH0I",1
17743,But the Fake News will never show this. Thank you!https://twitter.com/RealKyleMorris/status/1193289193541308416 …,1
15519,“Iran to defy Uranium Stockpile Limits”,1
17623,"....our great police are being disrespected, even with water dumped on them, because a Mayor and Governor just don’t “have their backs.” New York’s Finest must be cherished, respected and loved. Too many prople are leaving our special New York. Great leaders would work....",1
1724,"We can’t tear down the ACA. We should protect and build on it. In America, health care should be a right—not a privilege.

As president, I’ll do everything in my power to stand up to the attacks on the ACA and expand coverage to ensure everyone has access to the care they need.",0
7148,"I have over seven million hits on social media re Crooked Hillary Clinton. Check it out Sleepy Eyes, @ MarkHalperin @ NBCPolitics",1
3511,"Alex, a law enforcement officer and former Marine from Reno, supports common-sense gun safety reform — just like the majority of America. Here’s why he’s supporting our campaign: https://t.co/BAM6qFjHzs",0
6479,Honored to have received the endorsement of Lou Holtz - a great guy! # INPrimary # Trump2016pic.twitter.com/AeGyODb37O,1
14856,PRESIDENTIAL HARASSMENT!pic.twitter.com/G3f6QBNSMa,1
8647,"The media tries so hard to make my move to the White House, as it pertains to my business, so complex - when actually it isn't!",1
2346,So release the transcript of the call then. https://t.co/pWD7xmVLQO,0
9034,"The FBI is totally unable to stop the national security ""leakers"" that have permeated our government for a long time. They can't even......",1
5281,We need to restore honor and decency to the White House.,0
16319,"Our economy is the best in the world, by far. Lowest unemployment ever within almost all categories. Poised for big growth after trade deals are completed. Import prices down, China eating Tariffs. Helping targeted Farmers from big Tariff money coming in. Great future for USA!",1
5166,"Jill and I are praying for the safety of those in the path of Hurricane Laura. If you are in an impacted area, please heed the advice of local officials. https://t.co/HsSxMKuVpL",0
3672,"I have said it many times in this campaign. This nation will be able to overcome four years of Donald Trump. But if this man is reelected, we won’t recognize this country in a few years.

We have to get Trump out of the White House.",0
18310,"The great USMCA Trade Deal (Mexico & Canada) has been sitting on Nancy Pelosi’s desk for 8 months, she doesn’t even know what it says, & today, after passing by a wide margin in the House, Pelosi tried to take credit for it. Labor will vote for Trump. Trade deal is great for USA!",1
17566,".....the call with the Ukrainian President was a totally appropriate one. As he said, “No Pressure.” This Impeachment nonsense is just a continuation of the Witch Hunt Hoax, which has been going on since before I even got elected. Rupublicans, go with Substance and close it out!",1
7303,"The ratings for the Republican National Convention were very good, but for the final night, my speech, great. Thank you!",1
13216,Congressman Andy Biggs is doing a great job for Arizona and our Country!https://twitter.com/RepAndyBiggsAZ/status/1053280612654534657 …,1
11586,"Thank you Kanye, very cool!https://twitter.com/kanyewest/status/989179757651574784 …",1
3470,Americans should decide American elections. Period. House Democrats took action to protect our elections from foreign interference — it’s time Mitch McConnell and Senate Republicans do the same. https://t.co/ZjKZyL4KvX,0
17658,"False stories are being reported that a few Republican Senators are saying that President Trump may have done a quid pro quo, but it doesn’t matter, there is nothing wrong with that, it is not an impeachable event. Perhaps so, but read the transcript, there is no quid pro quo!",1
6832,""" @ angeloftruth11: Clinton says Trump is dangerous. Who's the one who killed 4 Americans in Benghazi? http://reut.rs/22z6Sn4 """,1
89,"RT @VP: The Senate lost a brilliant strategic mind, a man with absolute integrity. He will be missed. -VP on @senatorlugar",0
11746,"....and why hasn’t the Podesta brother been charged and arrested, like others, after being forced to close down his very large and successful firm? Is it because he is a VERY well connected Democrat working in the Swamp of Washington, D.C.?",1
9515,Great news! # MAGApic.twitter.com/pirHR7lAyT,1
16379,"Check out a FANTASTIC new book, “STILL WINNING – Why America Went All In On Donald Trump-And Why We Must Do It Again” by the great writer, @ CharlesHurt. An excellent read. Thank you!",1
11268,"The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better time doing something, and especially since this is for the American People!",1
6668,Thank you Oregon! # Trump2016 # MakeAmericaGreatAgainpic.twitter.com/hK1yqlp9ca,1
15082,"“Just another abuse of power in a long series of abuses of power by the Democrats that began during the Obama Administration, continued through the Mueller FBI operation, & now the baton has been passed to Jerry Nadler to continue to abuse power to harass President Trump..",1
15794,"...or a very nervous and skinny version of Pocahontas (1/1024th), as your President, rather than what you have now, so great looking and smart, a true Stable Genius! Sorry to say that even Social Media would be driven out of business along with, and finally, the Fake News Media!",1
14828,"If @ MittRomney spent the same energy fighting Barack Obama as he does fighting Donald Trump, he could have won the race (maybe)!pic.twitter.com/p5imhMJqS1",1
12811,"Almost everyone agrees that my Administration has done more in less than two years than any other Administration in the history of our Country. I’m tough as hell on people & if I weren’t, nothing would get done. Also, I question everybody & everything-which is why I got elected!",1
12026,It is the Democrats fault for being weak and ineffective with Boarder Security and Crime. Tell them to start thinking about the people devastated by Crime coming from illegal immigration. Change the laws!,1
10897,“Trump Rally: Stocks put 2017 in the record books”http://www.foxbusiness.com/markets/2017/12/29/trump-rally-stocks-put-2017-in-record-books.html …,1
9723,"Heading back to Washington, D.C. Much will be accomplished this week on trade, the military and security!",1
14405,"Hans Von Spakovsky, “I haven’t seen any evidence of actual violations of the law, which is usually a basis before you start an investigation. Adam Schiff seems to be copying Joseph McCarthy in wanting to open up investigations when they don’t have any evidence of wrongdoing.”",1
1836,"It’s about time we start rewarding workers with the resources to live with dignity &amp; respect—that begins with better wages and benefits, and the right to collectively organize and strike.
Today, I stand with @unitehere airline catering workers as they rally together at DCA. #1Job",0
12350,"When you have people snipping at your heels during a negotiation, it will only take longer to make a deal, and the deal will never be as good as it could have been with unity. Negotiations are going really well, be cool. The end result will be worth it!",1
16865,The USA Loves India!https://twitter.com/PMOIndia/status/1175807072870420481 …,1
11736,"California finally deserves a great Governor, one who understands borders, crime and lowering taxes. John Cox is the man - he’ll be the best Governor you’ve ever had. I fully endorse John Cox for Governor and look forward to working with him to Make California Great Again!",1
8662,"Today there were terror attacks in Turkey, Switzerland and Germany - and it is only getting worse. The civilized world must change thinking!",1
12078,We are gathered today to hear directly from the AMERICAN VICTIMS of ILLEGAL IMMIGRATION. These are the American Citizens permanently separated from their loved ones b/c they were killed by criminal illegal aliens. These are the families the media ignores...https://www.pscp.tv/w/bf1GFzFvTlFsTFJub1dwUXd8MWpNSmdFVll5ZUFLTAWuHc0BMMKeCOoDRCPmtIftVLaFLQVwfSLoC_C0SbzX?t=9m9s …,1
11480,Big show tonight on @ seanhannity! 9:00 P.M. on @ FoxNews,1
9891,"Military solutions are now fully in place,locked and loaded,should North Korea act unwisely. Hopefully Kim Jong Un will find another path!",1
3735,"Thank you to all of our incredible supporters and volunteers across the country — tonight's victories wouldn't be possible without your support. Together, we'll win this nomination, beat Donald Trump, and take back this country! https://t.co/iovKeWNaE4",0
17904,"Nancy Pelosi will go down as the least productive Speaker of the House in history. She is dominated by AOC Plus 3 and the Radical Left. Mexico and Canada, after waiting for 6 months to be approved, are ready to flee - and who can blame them? Too bad!",1
